time,temperature_2m
2025-07-22T00:00,29.1
2025-07-22T01:00,26.6
2025-07-22T02:00,25.2
2025-07-22T03:00,24.1
2025-07-22T04:00,23.8
2025-07-22T05:00,23.4
2025-07-22T06:00,22.9
2025-07-22T07:00,22.6
2025-07-22T08:00,22.0
2025-07-22T09:00,21.4
2025-07-22T10:00,20.2
2025-07-22T11:00,20.4
2025-07-22T12:00,21.5
2025-07-22T13:00,23.1
2025-07-22T14:00,24.9
2025-07-22T15:00,27.1
2025-07-22T16:00,28.8
2025-07-22T17:00,29.8
2025-07-22T18:00,30.8
2025-07-22T19:00,31.0
2025-07-22T20:00,31.2
2025-07-22T21:00,30.9
2025-07-22T22:00,30.2
2025-07-22T23:00,29.6
2025-07-23T00:00,28.6
2025-07-23T01:00,26.5
2025-07-23T02:00,25.6
2025-07-23T03:00,25.0
2025-07-23T04:00,24.1
2025-07-23T05:00,23.3
2025-07-23T06:00,23.1
2025-07-23T07:00,23.3
2025-07-23T08:00,22.5
2025-07-23T09:00,22.0
2025-07-23T10:00,21.5
2025-07-23T11:00,22.3
2025-07-23T12:00,24.4
2025-07-23T13:00,25.9
2025-07-23T14:00,27.0
2025-07-23T15:00,28.3
2025-07-23T16:00,29.6
2025-07-23T17:00,30.5
2025-07-23T18:00,30.3
2025-07-23T19:00,28.1
2025-07-23T20:00,28.1
2025-07-23T21:00,29.0
2025-07-23T22:00,29.2
2025-07-23T23:00,28.2
2025-07-24T00:00,26.5
2025-07-24T01:00,25.2
2025-07-24T02:00,24.7
2025-07-24T03:00,24.2
2025-07-24T04:00,23.7
2025-07-24T05:00,23.3
2025-07-24T06:00,23.0
2025-07-24T07:00,22.6
2025-07-24T08:00,22.2
2025-07-24T09:00,21.9
2025-07-24T10:00,21.6
2025-07-24T11:00,21.9
2025-07-24T12:00,23.5
2025-07-24T13:00,25.5
2025-07-24T14:00,27.4
2025-07-24T15:00,29.2
2025-07-24T16:00,30.8
2025-07-24T17:00,32.2
2025-07-24T18:00,33.3
2025-07-24T19:00,34.0
2025-07-24T20:00,34.3
2025-07-24T21:00,34.2
2025-07-24T22:00,33.7
2025-07-24T23:00,32.6
2025-07-25T00:00,30.2
2025-07-25T01:00,27.7
2025-07-25T02:00,26.8
2025-07-25T03:00,26.2
2025-07-25T04:00,25.8
2025-07-25T05:00,25.5
2025-07-25T06:00,25.3
2025-07-25T07:00,25.0
2025-07-25T08:00,24.7
2025-07-25T09:00,24.4
2025-07-25T10:00,24.5
2025-07-25T11:00,24.8
2025-07-25T12:00,26.5
2025-07-25T13:00,28.2
2025-07-25T14:00,30.9
2025-07-25T15:00,33.5
2025-07-25T16:00,35.0
2025-07-25T17:00,35.9
2025-07-25T18:00,36.6
2025-07-25T19:00,37.2
2025-07-25T20:00,37.4
2025-07-25T21:00,37.5
2025-07-25T22:00,36.6
2025-07-25T23:00,34.8
2025-07-26T00:00,33.5
2025-07-26T01:00,32.5
2025-07-26T02:00,30.9
2025-07-26T03:00,28.7
2025-07-26T04:00,28.9
2025-07-26T05:00,28.1
2025-07-26T06:00,27.3
2025-07-26T07:00,26.8
2025-07-26T08:00,26.3
2025-07-26T09:00,26.1
2025-07-26T10:00,25.8
2025-07-26T11:00,26.0
2025-07-26T12:00,27.6
2025-07-26T13:00,29.5
2025-07-26T14:00,31.3
2025-07-26T15:00,33.4
2025-07-26T16:00,34.9
2025-07-26T17:00,35.1
2025-07-26T18:00,35.5
2025-07-26T19:00,35.2
2025-07-26T20:00,34.5
2025-07-26T21:00,33.3
2025-07-26T22:00,31.2
2025-07-26T23:00,28.6
2025-07-27T00:00,26.6
2025-07-27T01:00,25.5
2025-07-27T02:00,25.0
2025-07-27T03:00,24.6
2025-07-27T04:00,24.1
2025-07-27T05:00,23.7
2025-07-27T06:00,23.5
2025-07-27T07:00,23.3
2025-07-27T08:00,23.2
2025-07-27T09:00,23.3
2025-07-27T10:00,23.5
2025-07-27T11:00,23.9
2025-07-27T12:00,24.7
2025-07-27T13:00,25.9
2025-07-27T14:00,27.5
2025-07-27T15:00,29.1
2025-07-27T16:00,30.8
2025-07-27T17:00,32.4
2025-07-27T18:00,33.6
2025-07-27T19:00,33.9
2025-07-27T20:00,33.7
2025-07-27T21:00,33.1
2025-07-27T22:00,32.1
2025-07-27T23:00,30.8
2025-07-28T00:00,29.5
2025-07-28T01:00,28.3
2025-07-28T02:00,27.2
2025-07-28T03:00,26.3
2025-07-28T04:00,25.8
2025-07-28T05:00,25.6
2025-07-28T06:00,25.4
2025-07-28T07:00,25.0
2025-07-28T08:00,24.6
2025-07-28T09:00,24.5
2025-07-28T10:00,24.6
2025-07-28T11:00,24.9
2025-07-28T12:00,25.8
2025-07-28T13:00,27.4
2025-07-28T14:00,29.6
2025-07-28T15:00,31.5
2025-07-28T16:00,32.8
2025-07-28T17:00,33.8
2025-07-28T18:00,34.6
2025-07-28T19:00,35.1
2025-07-28T20:00,35.4
2025-07-28T21:00,35.2
2025-07-28T22:00,34.0
2025-07-28T23:00,32.4
